Employee #,Year,Month,FTE,FMLA Hours,Training Hours,Name
4,2010,12,1,NA,NA,Alex Ashbrook  
4,2011,1,1,NA,NA,Alex Ashbrook  
4,2011,2,0.76,NA,NA,Alex Ashbrook  
4,2011,3,1,NA,NA,Alex Ashbrook  
4,2011,4,1,NA,2,Alex Ashbrook  
4,2011,5,1,NA,NA,Alex Ashbrook  
4,2011,6,1,NA,NA,Alex Ashbrook  
4,2011,7,1,NA,NA,Alex Ashbrook  
4,2011,8,1,NA,NA,Alex Ashbrook  
4,2011,9,1,NA,NA,Alex Ashbrook  
4,2011,10,1,NA,NA,Alex Ashbrook  
4,2011,11,0.5,NA,NA,Alex Ashbrook  
4,2011,12,1,NA,NA,Alex Ashbrook  
4,2012,1,1,NA,NA,Alex Ashbrook  
4,2012,2,1,NA,NA,Alex Ashbrook  
4,2012,3,1,NA,25,Alex Ashbrook  
4,2012,4,1,NA,NA,Alex Ashbrook  
4,2012,5,1,NA,NA,Alex Ashbrook  
4,2012,6,1,NA,NA,Alex Ashbrook  
4,2012,7,1,NA,NA,Alex Ashbrook  
4,2012,8,1,NA,NA,Alex Ashbrook  
4,2012,9,1,NA,NA,Alex Ashbrook  
4,2012,10,1,NA,NA,Alex Ashbrook  
4,2012,11,0.76,NA,NA,Alex Ashbrook  
4,2012,12,1,NA,NA,Alex Ashbrook  
5,2012,6,1,NA,32,Alexis Alcina  
5,2012,7,1,NA,NA,Alexis Alcina  
6,2009,1,1,NA,NA,Alfredo Andrea  
6,2009,2,1,NA,NA,Alfredo Andrea  
6,2009,3,1,NA,NA,Alfredo Andrea  
6,2009,4,1,153,NA,Alfredo Andrea  
6,2009,5,1,NA,NA,Alfredo Andrea  
6,2009,6,1,NA,30,Alfredo Andrea  
6,2009,7,1,NA,NA,Alfredo Andrea  
6,2009,8,1,NA,NA,Alfredo Andrea  
6,2009,9,1,NA,NA,Alfredo Andrea  
6,2009,10,1,NA,NA,Alfredo Andrea  
6,2009,11,1,NA,NA,Alfredo Andrea  
6,2009,12,1,NA,8,Alfredo Andrea  
6,2010,1,0.5,NA,NA,Alfredo Andrea  
6,2010,2,1,NA,NA,Alfredo Andrea  
6,2010,3,1,NA,NA,Alfredo Andrea  
6,2010,4,1,NA,NA,Alfredo Andrea  
6,2010,5,1,NA,NA,Alfredo Andrea  
6,2010,6,1,NA,NA,Alfredo Andrea  
6,2010,7,1,NA,5,Alfredo Andrea  
6,2010,8,1,NA,NA,Alfredo Andrea  
6,2010,9,1,NA,NA,Alfredo Andrea  
6,2010,10,1,NA,NA,Alfredo Andrea  
6,2010,11,1,44,NA,Alfredo Andrea  
6,2010,12,1,NA,NA,Alfredo Andrea  
6,2011,1,1,NA,NA,Alfredo Andrea  
6,2011,2,1,NA,NA,Alfredo Andrea  
6,2011,3,1,NA,51,Alfredo Andrea  
6,2011,4,1,NA,NA,Alfredo Andrea  
6,2011,5,1,NA,15,Alfredo Andrea  
6,2011,6,1,NA,NA,Alfredo Andrea  
6,2011,7,1,NA,NA,Alfredo Andrea  
6,2011,8,1,NA,NA,Alfredo Andrea  
6,2011,9,1,NA,NA,Alfredo Andrea  
6,2011,10,1,NA,NA,Alfredo Andrea  
6,2011,11,1,NA,NA,Alfredo Andrea  
6,2011,12,0.5,NA,NA,Alfredo Andrea  
6,2012,1,1,NA,NA,Alfredo Andrea  
6,2012,2,1,NA,NA,Alfredo Andrea  
6,2012,3,1,NA,NA,Alfredo Andrea  
6,2012,4,0.76,NA,NA,Alfredo Andrea  
6,2012,5,1,NA,NA,Alfredo Andrea  
6,2012,6,1,NA,NA,Alfredo Andrea  
6,2012,7,1,NA,NA,Alfredo Andrea  
6,2012,8,1,NA,NA,Alfredo Andrea  
6,2012,9,1,NA,NA,Alfredo Andrea  
6,2012,10,1,NA,NA,Alfredo Andrea  
6,2012,11,1,NA,NA,Alfredo Andrea  
6,2012,12,1,NA,39,Alfredo Andrea  
6,2013,1,1,NA,NA,Alfredo Andrea  
6,2013,2,1,NA,37,Alfredo Andrea  
6,2013,3,1,NA,NA,Alfredo Andrea  
6,2013,4,1,NA,NA,Alfredo Andrea  
6,2013,5,1,NA,NA,Alfredo Andrea  
6,2013,6,1,NA,NA,Alfredo Andrea  
6,2013,7,1,NA,NA,Alfredo Andrea  
6,2013,8,1,NA,NA,Alfredo Andrea  
6,2013,9,1,NA,NA,Alfredo Andrea  
6,2013,10,1,NA,NA,Alfredo Andrea  
6,2013,11,1,NA,NA,Alfredo Andrea  
6,2013,12,1,NA,NA,Alfredo Andrea  
6,2014,1,1,NA,NA,Alfredo Andrea  
6,2014,2,1,NA,NA,Alfredo Andrea  
6,2014,3,1,NA,NA,Alfredo Andrea  
6,2014,4,1,NA,NA,Alfredo Andrea  
6,2014,5,1,NA,NA,Alfredo Andrea  
6,2014,6,1,NA,NA,Alfredo Andrea  
6,2014,7,1,NA,8,Alfredo Andrea  
6,2014,8,1,NA,NA,Alfredo Andrea  
6,2014,9,1,NA,NA,Alfredo Andrea  
6,2014,10,1,NA,NA,Alfredo Andrea  
6,2014,11,1,NA,NA,Alfredo Andrea  
6,2014,12,1,NA,21,Alfredo Andrea  
6,2015,1,1,NA,NA,Alfredo Andrea  
6,2015,2,1,NA,11,Alfredo Andrea  
6,2015,3,1,NA,NA,Alfredo Andrea  
6,2015,4,1,NA,NA,Alfredo Andrea  
6,2015,5,1,NA,NA,Alfredo Andrea  
6,2015,6,1,NA,NA,Alfredo Andrea  
6,2015,7,1,NA,NA,Alfredo Andrea  
6,2015,8,1,NA,NA,Alfredo Andrea  
6,2015,9,1,NA,NA,Alfredo Andrea  
7,2009,1,1,NA,NA,Alise Adcock  
7,2009,2,0.76,NA,NA,Alise Adcock  
7,2009,3,1,NA,NA,Alise Adcock  
7,2009,4,1,NA,NA,Alise Adcock  
7,2009,5,1,NA,NA,Alise Adcock  
7,2009,6,1,NA,NA,Alise Adcock  
7,2009,7,1,NA,40,Alise Adcock  
7,2009,8,1,NA,9,Alise Adcock  
7,2009,9,0.76,NA,27,Alise Adcock  
7,2009,10,0.5,NA,NA,Alise Adcock  
7,2009,11,1,NA,46,Alise Adcock  
7,2009,12,1,NA,NA,Alise Adcock  
7,2010,1,1,NA,NA,Alise Adcock  
7,2010,2,1,NA,NA,Alise Adcock  
7,2010,3,1,NA,11,Alise Adcock  
7,2010,4,1,NA,NA,Alise Adcock  
7,2010,5,1,NA,NA,Alise Adcock  
7,2010,6,1,NA,NA,Alise Adcock  
7,2010,7,1,NA,NA,Alise Adcock  
7,2010,8,1,NA,NA,Alise Adcock  
7,2010,9,1,NA,NA,Alise Adcock  
7,2010,10,1,NA,NA,Alise Adcock  
7,2010,11,1,NA,NA,Alise Adcock  
7,2010,12,0.5,NA,NA,Alise Adcock  
7,2011,1,1,NA,NA,Alise Adcock  
7,2011,2,1,NA,NA,Alise Adcock  
7,2011,3,1,NA,NA,Alise Adcock  
7,2011,4,1,NA,NA,Alise Adcock  
7,2011,5,1,NA,NA,Alise Adcock  
7,2011,6,1,NA,NA,Alise Adcock  
7,2011,7,1,NA,NA,Alise Adcock  
7,2011,8,1,NA,NA,Alise Adcock  
7,2011,9,0.5,NA,NA,Alise Adcock  
7,2011,10,0.5,NA,33,Alise Adcock  
7,2011,11,0.5,NA,NA,Alise Adcock  
7,2011,12,1,NA,NA,Alise Adcock  
7,2012,1,1,NA,NA,Alise Adcock  
7,2012,2,1,NA,NA,Alise Adcock  
7,2012,3,1,NA,42,Alise Adcock  
7,2012,4,1,NA,NA,Alise Adcock  
7,2012,5,1,NA,29,Alise Adcock  
7,2012,6,1,NA,NA,Alise Adcock  
7,2012,7,1,NA,NA,Alise Adcock  
7,2012,8,1,NA,NA,Alise Adcock  
7,2012,9,1,NA,59,Alise Adcock  
7,2012,10,1,NA,NA,Alise Adcock  
7,2012,11,1,NA,51,Alise Adcock  
7,2012,12,1,NA,58,Alise Adcock  
7,2013,1,1,NA,40,Alise Adcock  
7,2013,2,1,NA,NA,Alise Adcock  
7,2013,3,1,NA,59,Alise Adcock  
7,2013,4,1,NA,NA,Alise Adcock  
7,2013,5,0.76,NA,NA,Alise Adcock  
7,2013,6,1,NA,NA,Alise Adcock  
7,2013,7,1,NA,NA,Alise Adcock  
7,2013,8,1,NA,NA,Alise Adcock  
7,2013,9,1,NA,NA,Alise Adcock  
7,2013,10,1,NA,NA,Alise Adcock  
7,2013,11,1,NA,53,Alise Adcock  
7,2013,12,0.76,NA,NA,Alise Adcock  
7,2014,1,1,NA,NA,Alise Adcock  
7,2014,2,1,NA,NA,Alise Adcock  
7,2014,3,1,NA,NA,Alise Adcock  
7,2014,4,1,NA,NA,Alise Adcock  
7,2014,5,1,NA,NA,Alise Adcock  
7,2014,6,1,NA,19,Alise Adcock  
7,2014,7,1,NA,27,Alise Adcock  
7,2014,8,0.5,NA,NA,Alise Adcock  
7,2014,9,1,NA,NA,Alise Adcock  
7,2014,10,1,NA,NA,Alise Adcock  
7,2014,11,1,NA,NA,Alise Adcock  
7,2014,12,1,NA,NA,Alise Adcock  
7,2015,1,1,NA,NA,Alise Adcock  
7,2015,2,1,NA,NA,Alise Adcock  
7,2015,3,1,NA,6,Alise Adcock  
7,2015,4,1,NA,NA,Alise Adcock  
7,2015,5,1,NA,NA,Alise Adcock  
7,2015,6,1,NA,NA,Alise Adcock  
7,2015,7,1,NA,NA,Alise Adcock  
7,2015,8,1,NA,NA,Alise Adcock  
7,2015,9,1,NA,NA,Alise Adcock  
8,2009,1,1,NA,NA,Althea Akey  
8,2009,2,1,NA,NA,Althea Akey  
8,2009,3,1,NA,NA,Althea Akey  
8,2009,4,1,NA,NA,Althea Akey  
8,2009,5,1,NA,NA,Althea Akey  
8,2009,6,1,NA,NA,Althea Akey  
8,2009,7,0.5,NA,NA,Althea Akey  
8,2009,8,1,NA,NA,Althea Akey  
8,2009,9,1,NA,NA,Althea Akey  
8,2009,10,1,NA,NA,Althea Akey  
8,2009,11,1,NA,NA,Althea Akey  
8,2009,12,1,NA,NA,Althea Akey  
8,2010,1,1,NA,NA,Althea Akey  
8,2010,2,1,NA,NA,Althea Akey  
8,2010,3,1,NA,NA,Althea Akey  
8,2010,4,1,NA,31,Althea Akey  
9,2009,1,1,NA,NA,Ammie Artrip  
9,2009,2,1,NA,NA,Ammie Artrip  
9,2009,3,1,NA,7,Ammie Artrip  
9,2009,4,1,NA,57,Ammie Artrip  
9,2009,5,1,NA,4,Ammie Artrip  
9,2009,6,1,NA,NA,Ammie Artrip  
9,2009,7,1,NA,NA,Ammie Artrip  
9,2009,8,1,NA,NA,Ammie Artrip  
9,2009,9,1,NA,NA,Ammie Artrip  
9,2009,10,1,NA,NA,Ammie Artrip  
9,2009,11,1,NA,NA,Ammie Artrip  
9,2009,12,1,NA,34,Ammie Artrip  
9,2010,1,1,113,NA,Ammie Artrip  
9,2010,2,1,NA,NA,Ammie Artrip  
9,2010,3,1,NA,NA,Ammie Artrip  
9,2010,4,1,NA,25,Ammie Artrip  
9,2010,5,1,NA,NA,Ammie Artrip  
9,2010,6,1,52,NA,Ammie Artrip  
9,2010,7,1,NA,NA,Ammie Artrip  
9,2010,8,1,NA,NA,Ammie Artrip  
9,2010,9,1,NA,47,Ammie Artrip  
9,2010,10,1,130,NA,Ammie Artrip  
9,2010,11,1,NA,10,Ammie Artrip  
9,2010,12,1,NA,47,Ammie Artrip  
9,2011,1,1,NA,7,Ammie Artrip  
9,2011,2,1,NA,NA,Ammie Artrip  
9,2011,3,1,NA,NA,Ammie Artrip  
9,2011,4,1,1,NA,Ammie Artrip  
9,2011,5,1,NA,NA,Ammie Artrip  
9,2011,6,1,NA,NA,Ammie Artrip  
9,2011,7,0.5,NA,NA,Ammie Artrip  
9,2011,8,1,NA,NA,Ammie Artrip  
9,2011,9,1,NA,NA,Ammie Artrip  
9,2011,10,1,NA,9,Ammie Artrip  
9,2011,11,1,NA,15,Ammie Artrip  
9,2011,12,1,NA,NA,Ammie Artrip  
9,2012,1,1,NA,NA,Ammie Artrip  
9,2012,2,1,NA,45,Ammie Artrip  
9,2012,3,1,NA,NA,Ammie Artrip  
9,2012,4,1,NA,NA,Ammie Artrip  
9,2012,5,1,NA,NA,Ammie Artrip  
9,2012,6,1,NA,NA,Ammie Artrip  
9,2012,7,1,NA,NA,Ammie Artrip  
9,2012,8,1,NA,NA,Ammie Artrip  
9,2012,9,1,NA,NA,Ammie Artrip  
9,2012,10,1,NA,NA,Ammie Artrip  
9,2012,11,1,NA,NA,Ammie Artrip  
9,2012,12,1,NA,NA,Ammie Artrip  
9,2013,1,1,NA,NA,Ammie Artrip  
9,2013,2,1,NA,NA,Ammie Artrip  
9,2013,3,1,NA,NA,Ammie Artrip  
9,2013,4,1,NA,NA,Ammie Artrip  
9,2013,5,1,NA,NA,Ammie Artrip  
9,2013,6,0.76,NA,NA,Ammie Artrip  
9,2013,7,1,NA,NA,Ammie Artrip  
9,2013,8,1,NA,45,Ammie Artrip  
9,2013,9,1,NA,NA,Ammie Artrip  
9,2013,10,1,NA,NA,Ammie Artrip  
9,2013,11,1,NA,NA,Ammie Artrip  
9,2013,12,1,NA,46,Ammie Artrip  
9,2014,1,1,NA,NA,Ammie Artrip  
9,2014,2,1,77,NA,Ammie Artrip  
9,2014,3,1,NA,NA,Ammie Artrip  
9,2014,4,1,NA,NA,Ammie Artrip  
9,2014,5,1,NA,NA,Ammie Artrip  
9,2014,6,1,NA,NA,Ammie Artrip  
9,2014,7,1,NA,NA,Ammie Artrip  
9,2014,8,1,NA,NA,Ammie Artrip  
9,2014,9,1,NA,NA,Ammie Artrip  
9,2014,10,1,NA,NA,Ammie Artrip  
9,2014,11,1,NA,17,Ammie Artrip  
9,2014,12,1,NA,NA,Ammie Artrip  
9,2015,1,1,NA,NA,Ammie Artrip  
9,2015,2,0.5,NA,NA,Ammie Artrip  
9,2015,3,1,NA,28,Ammie Artrip  
9,2015,4,1,NA,NA,Ammie Artrip  
9,2015,5,1,NA,NA,Ammie Artrip  
9,2015,6,1,NA,58,Ammie Artrip  
9,2015,7,1,NA,NA,Ammie Artrip  
9,2015,8,1,NA,NA,Ammie Artrip  
9,2015,9,1,NA,NA,Ammie Artrip  
10,2009,1,1,NA,NA,An Alfano  
10,2009,2,1,NA,NA,An Alfano  
10,2009,3,1,NA,NA,An Alfano  
10,2009,4,1,NA,NA,An Alfano  
10,2009,5,0.5,NA,53,An Alfano  
10,2009,6,1,NA,NA,An Alfano  
10,2009,7,1,NA,30,An Alfano  
10,2009,8,1,NA,26,An Alfano  
10,2009,9,1,NA,NA,An Alfano  
10,2009,10,1,NA,NA,An Alfano  
10,2009,11,1,NA,46,An Alfano  
10,2009,12,1,3,NA,An Alfano  
10,2010,1,1,NA,18,An Alfano  
10,2010,2,1,NA,NA,An Alfano  
10,2010,3,1,NA,NA,An Alfano  
10,2010,4,0.5,NA,58,An Alfano  
10,2010,5,1,NA,NA,An Alfano  
10,2010,6,1,NA,26,An Alfano  
10,2010,7,1,5,NA,An Alfano  
10,2010,8,1,NA,NA,An Alfano  
10,2010,9,1,NA,NA,An Alfano  
10,2010,10,1,NA,NA,An Alfano  
10,2010,11,1,NA,NA,An Alfano  
10,2010,12,1,NA,NA,An Alfano  
10,2011,1,1,NA,19,An Alfano  
10,2011,2,0.5,NA,NA,An Alfano  
11,2009,1,1,NA,38,Andres Angert  
11,2009,2,0.5,NA,NA,Andres Angert  
11,2009,3,1,NA,15,Andres Angert  
11,2009,4,1,NA,NA,Andres Angert  
11,2009,5,1,NA,NA,Andres Angert  
11,2009,6,1,NA,NA,Andres Angert  
11,2009,7,1,NA,NA,Andres Angert  
11,2009,8,1,NA,37,Andres Angert  
11,2009,9,1,NA,NA,Andres Angert  
11,2009,10,1,NA,NA,Andres Angert  
11,2009,11,1,NA,15,Andres Angert  
11,2009,12,0.5,NA,NA,Andres Angert  
11,2010,1,1,NA,1,Andres Angert  
11,2010,2,1,NA,NA,Andres Angert  
11,2010,3,1,NA,NA,Andres Angert  
11,2010,4,1,NA,NA,Andres Angert  
11,2010,5,1,NA,NA,Andres Angert  
11,2010,6,1,NA,NA,Andres Angert  
11,2010,7,1,NA,NA,Andres Angert  
11,2010,8,1,NA,15,Andres Angert  
11,2010,9,1,NA,10,Andres Angert  
11,2010,10,1,NA,NA,Andres Angert  
11,2010,11,1,NA,NA,Andres Angert  
11,2010,12,1,NA,NA,Andres Angert  
11,2011,1,1,NA,NA,Andres Angert  
11,2011,2,1,NA,NA,Andres Angert  
11,2011,3,1,NA,NA,Andres Angert  
11,2011,4,1,NA,NA,Andres Angert  
11,2011,5,1,NA,34,Andres Angert  
11,2011,6,1,NA,NA,Andres Angert  
11,2011,7,1,NA,NA,Andres Angert  
11,2011,8,1,NA,NA,Andres Angert  
11,2011,9,1,NA,NA,Andres Angert  
11,2011,10,1,NA,NA,Andres Angert  
11,2011,11,1,NA,22,Andres Angert  
11,2011,12,1,NA,NA,Andres Angert  
11,2012,1,1,NA,NA,Andres Angert  
11,2012,2,1,106,NA,Andres Angert  
11,2012,3,1,NA,NA,Andres Angert  
11,2012,4,1,NA,27,Andres Angert  
11,2012,5,1,NA,NA,Andres Angert  
11,2012,6,1,NA,NA,Andres Angert  
11,2012,7,1,NA,28,Andres Angert  
11,2012,8,1,NA,NA,Andres Angert  
11,2012,9,0.5,NA,NA,Andres Angert  
11,2012,10,1,NA,NA,Andres Angert  
11,2012,11,1,NA,12,Andres Angert  
11,2012,12,1,NA,NA,Andres Angert  
11,2013,1,1,NA,NA,Andres Angert  
11,2013,2,1,NA,NA,Andres Angert  
11,2013,3,0.5,NA,NA,Andres Angert  
11,2013,4,1,NA,NA,Andres Angert  
11,2013,5,1,NA,44,Andres Angert  
11,2013,6,0.5,NA,NA,Andres Angert  
11,2013,7,1,NA,NA,Andres Angert  
11,2013,8,1,NA,NA,Andres Angert  
11,2013,9,1,NA,NA,Andres Angert  
11,2013,10,1,NA,53,Andres Angert  
11,2013,11,1,NA,NA,Andres Angert  
11,2013,12,1,NA,NA,Andres Angert  
11,2014,1,1,NA,NA,Andres Angert  
11,2014,2,1,NA,NA,Andres Angert  
11,2014,3,1,NA,28,Andres Angert  
11,2014,4,1,NA,NA,Andres Angert  
11,2014,5,1,NA,52,Andres Angert  
11,2014,6,1,NA,NA,Andres Angert  
11,2014,7,1,NA,NA,Andres Angert  
11,2014,8,1,NA,42,Andres Angert  
11,2014,9,1,NA,NA,Andres Angert  
11,2014,10,1,NA,NA,Andres Angert  
11,2014,11,1,NA,NA,Andres Angert  
11,2014,12,1,NA,NA,Andres Angert  
11,2015,1,1,NA,NA,Andres Angert  
11,2015,2,1,NA,NA,Andres Angert  
11,2015,3,1,NA,NA,Andres Angert  
11,2015,4,1,NA,NA,Andres Angert  
11,2015,5,1,NA,NA,Andres Angert  
11,2015,6,1,NA,NA,Andres Angert  
11,2015,7,1,NA,NA,Andres Angert  
11,2015,8,1,NA,NA,Andres Angert  
11,2015,9,1,NA,NA,Andres Angert  
12,2009,1,1,NA,NA,Andy Alcott  
12,2009,2,1,NA,NA,Andy Alcott  
12,2009,3,1,NA,NA,Andy Alcott  
12,2009,4,1,NA,NA,Andy Alcott  
12,2009,5,1,NA,NA,Andy Alcott  
12,2009,6,1,NA,NA,Andy Alcott  
12,2009,7,1,49,NA,Andy Alcott  
12,2009,8,1,NA,NA,Andy Alcott  
12,2009,9,1,NA,26,Andy Alcott  
12,2009,10,1,NA,NA,Andy Alcott  
12,2009,11,1,NA,NA,Andy Alcott  
12,2009,12,1,NA,NA,Andy Alcott  
12,2010,1,1,NA,NA,Andy Alcott  
12,2010,2,1,NA,NA,Andy Alcott  
12,2010,3,1,NA,NA,Andy Alcott  
12,2010,4,1,NA,NA,Andy Alcott  
12,2010,5,1,NA,38,Andy Alcott  
12,2010,6,1,NA,NA,Andy Alcott  
12,2010,7,1,NA,NA,Andy Alcott  
12,2010,8,1,NA,NA,Andy Alcott  
12,2010,9,1,NA,4,Andy Alcott  
12,2010,10,1,NA,36,Andy Alcott  
12,2010,11,1,NA,NA,Andy Alcott  
12,2010,12,1,NA,9,Andy Alcott  
12,2011,1,1,NA,NA,Andy Alcott  
12,2011,2,1,NA,NA,Andy Alcott  
12,2011,3,1,NA,12,Andy Alcott  
12,2011,4,1,NA,16,Andy Alcott  
12,2011,5,1,NA,NA,Andy Alcott  
12,2011,6,1,NA,4,Andy Alcott  
12,2011,7,1,NA,NA,Andy Alcott  
12,2011,8,1,NA,26,Andy Alcott  
12,2011,9,1,NA,NA,Andy Alcott  
12,2011,10,1,NA,NA,Andy Alcott  
12,2011,11,1,NA,NA,Andy Alcott  
12,2011,12,1,NA,NA,Andy Alcott  
12,2012,1,0.76,NA,NA,Andy Alcott  
12,2012,2,1,NA,42,Andy Alcott  
12,2012,3,1,NA,24,Andy Alcott  
12,2012,4,1,NA,NA,Andy Alcott  
12,2012,5,1,NA,NA,Andy Alcott  
12,2012,6,1,NA,NA,Andy Alcott  
12,2012,7,1,NA,NA,Andy Alcott  
12,2012,8,1,NA,NA,Andy Alcott  
12,2012,9,1,NA,NA,Andy Alcott  
12,2012,10,1,NA,NA,Andy Alcott  
12,2012,11,1,NA,NA,Andy Alcott  
12,2012,12,1,NA,NA,Andy Alcott  
12,2013,1,1,NA,NA,Andy Alcott  
12,2013,2,1,NA,NA,Andy Alcott  
