HOME_COUNTY,FTE,PERIOD,EMPLOYEEID,REGIONID,Name
Muskogee,100 %,09/2013,49,20,Claudette Conkling  
Muskogee,100 %,10/2013,49,20,Claudette Conkling  
Muskogee,100 %,12/2013,49,20,Claudette Conkling  
Muskogee,100 %,01/2014,49,20,Claudette Conkling  
Stephens,100 %,12/2012,50,29,Claudia Crowell  
Stephens,50 %,01/2013,50,29,Claudia Crowell  
Stephens,100 %,02/2013,50,29,Claudia Crowell  
Stephens,100 %,03/2013,50,29,Claudia Crowell  
Stephens,100 %,06/2013,50,29,Claudia Crowell  
Stephens,100 %,07/2013,50,29,Claudia Crowell  
Stephens,100 %,08/2013,50,29,Claudia Crowell  
Stephens,100 %,09/2013,50,29,Claudia Crowell  
Stephens,100 %,10/2013,50,29,Claudia Crowell  
Stephens,100 %,12/2013,50,29,Claudia Crowell  
Tulsa,100 %,06/2012,51,10,Clelia Crissman  
Tulsa,100 %,08/2012,51,10,Clelia Crissman  
Tulsa,100 %,09/2012,51,10,Clelia Crissman  
Tulsa,100 %,10/2012,51,10,Clelia Crissman  
Tulsa,50 %,12/2012,51,10,Clelia Crissman  
Tulsa,100 %,01/2013,51,10,Clelia Crissman  
Tulsa,100 %,02/2013,51,10,Clelia Crissman  
Tulsa,100 %,03/2013,51,10,Clelia Crissman  
Tulsa,100 %,06/2013,51,10,Clelia Crissman  
Tulsa,76 %,07/2013,51,10,Clelia Crissman  
Tulsa,100 %,08/2013,51,10,Clelia Crissman  
Tulsa,100 %,09/2013,51,10,Clelia Crissman  
Tulsa,100 %,10/2013,51,10,Clelia Crissman  
Tulsa,100 %,12/2013,51,10,Clelia Crissman  
Tulsa,100 %,01/2014,51,10,Clelia Crissman  
Tulsa,100 %,02/2014,51,10,Clelia Crissman  
Tulsa,100 %,03/2014,51,10,Clelia Crissman  
Tulsa,100 %,04/2014,51,10,Clelia Crissman  
Tulsa,50 %,05/2014,51,10,Clelia Crissman  
Tulsa,100 %,06/2014,51,3,Clelia Crissman  
Tulsa,100 %,07/2014,51,3,Clelia Crissman  
Tulsa,100 %,08/2014,51,3,Clelia Crissman  
Tulsa,100 %,09/2014,51,3,Clelia Crissman  
Tulsa,100 %,10/2014,51,3,Clelia Crissman  
Tulsa,100 %,11/2014,51,3,Clelia Crissman  
Tulsa,100 %,12/2014,51,3,Clelia Crissman  
Tulsa,100 %,01/2015,51,3,Clelia Crissman  
Tulsa,100 %,02/2015,51,3,Clelia Crissman  
Tulsa,100 %,03/2015,51,3,Clelia Crissman  
Tulsa,76 %,04/2015,51,3,Clelia Crissman  
Tulsa,100 %,05/2015,51,3,Clelia Crissman  
Tulsa,100 %,06/2015,51,3,Clelia Crissman  
Tulsa,50 %,07/2015,51,3,Clelia Crissman  
Tulsa,100 %,08/2015,51,3,Clelia Crissman  
Tulsa,100 %,09/2015,51,3,Clelia Crissman  
Carter,100 %,06/2012,52,40,Cletus Clemmons  
Carter,100 %,08/2012,52,40,Cletus Clemmons  
Carter,100 %,09/2012,52,40,Cletus Clemmons  
Carter,100 %,10/2012,52,40,Cletus Clemmons  
Carter,100 %,12/2012,52,40,Cletus Clemmons  
Carter,100 %,01/2013,52,40,Cletus Clemmons  
Carter,100 %,02/2013,52,40,Cletus Clemmons  
Carter,100 %,03/2013,52,40,Cletus Clemmons  
Carter,100 %,06/2013,52,40,Cletus Clemmons  
Carter,100 %,07/2013,52,40,Cletus Clemmons  
Carter,100 %,08/2013,52,40,Cletus Clemmons  
Carter,100 %,09/2013,52,40,Cletus Clemmons  
Carter,100 %,10/2013,52,40,Cletus Clemmons  
Carter,50 %,12/2013,52,40,Cletus Clemmons  
Carter,100 %,01/2014,52,40,Cletus Clemmons  
Carter,100 %,02/2014,52,39,Cletus Clemmons  
Carter,76 %,03/2014,52,40,Cletus Clemmons  
Carter,100 %,04/2014,52,39,Cletus Clemmons  
Carter,100 %,05/2014,52,39,Cletus Clemmons  
Carter,100 %,06/2014,52,40,Cletus Clemmons  
Carter,100 %,07/2014,52,40,Cletus Clemmons  
Carter,100 %,08/2014,52,39,Cletus Clemmons  
Carter,100 %,09/2014,52,39,Cletus Clemmons  
Carter,100 %,10/2014,52,39,Cletus Clemmons  
Carter,100 %,11/2014,52,39,Cletus Clemmons  
Carter,100 %,12/2014,52,39,Cletus Clemmons  
Carter,100 %,01/2015,52,39,Cletus Clemmons  
Carter,100 %,02/2015,52,39,Cletus Clemmons  
Carter,100 %,03/2015,52,40,Cletus Clemmons  
Carter,100 %,04/2015,52,40,Cletus Clemmons  
Carter,100 %,05/2015,52,40,Cletus Clemmons  
Carter,50 %,06/2015,52,40,Cletus Clemmons  
Carter,50 %,07/2015,52,40,Cletus Clemmons  
Carter,100 %,08/2015,52,40,Cletus Clemmons  
Carter,100 %,09/2015,52,40,Cletus Clemmons  
Tulsa,100 %,06/2012,53,3,Colby Conatser  
Tulsa,100 %,08/2012,53,3,Colby Conatser  
Tulsa,100 %,09/2012,53,3,Colby Conatser  
Tulsa,76 %,10/2012,53,3,Colby Conatser  
Tulsa,76 %,12/2012,53,3,Colby Conatser  
Tulsa,100 %,01/2013,53,3,Colby Conatser  
Tulsa,100 %,02/2013,53,3,Colby Conatser  
Tulsa,100 %,03/2013,53,3,Colby Conatser  
Tulsa,100 %,06/2013,53,3,Colby Conatser  
Tulsa,100 %,07/2013,53,3,Colby Conatser  
Tulsa,100 %,08/2013,53,3,Colby Conatser  
Tulsa,100 %,09/2013,53,3,Colby Conatser  
Tulsa,50 %,10/2013,53,3,Colby Conatser  
Tulsa,100 %,12/2013,53,3,Colby Conatser  
Tulsa,100 %,01/2014,53,3,Colby Conatser  
Tulsa,100 %,02/2014,53,3,Colby Conatser  
Tulsa,100 %,03/2014,53,3,Colby Conatser  
Tulsa,100 %,04/2014,53,3,Colby Conatser  
Tulsa,100 %,06/2014,53,3,Colby Conatser  
Lincoln,100 %,06/2012,54,2,Colton Crutcher  
Lincoln,100 %,08/2012,54,2,Colton Crutcher  
Lincoln,100 %,09/2012,54,2,Colton Crutcher  
Lincoln,100 %,10/2012,54,2,Colton Crutcher  
Lincoln,100 %,12/2012,54,2,Colton Crutcher  
Lincoln,100 %,01/2013,54,2,Colton Crutcher  
Lincoln,50 %,02/2013,54,2,Colton Crutcher  
Lincoln,100 %,03/2013,54,2,Colton Crutcher  
Lincoln,100 %,06/2013,54,2,Colton Crutcher  
Lincoln,100 %,07/2013,54,2,Colton Crutcher  
Lincoln,100 %,08/2013,54,2,Colton Crutcher  
Lincoln,100 %,09/2013,54,2,Colton Crutcher  
Lincoln,100 %,10/2013,54,2,Colton Crutcher  
Lincoln,100 %,12/2013,54,2,Colton Crutcher  
Lincoln,100 %,01/2014,54,2,Colton Crutcher  
Lincoln,100 %,02/2014,54,2,Colton Crutcher  
Lincoln,100 %,03/2014,54,2,Colton Crutcher  
Lincoln,100 %,04/2014,54,2,Colton Crutcher  
Lincoln,100 %,05/2014,54,2,Colton Crutcher  
Lincoln,100 %,06/2014,54,2,Colton Crutcher  
Lincoln,100 %,07/2014,54,2,Colton Crutcher  
Lincoln,100 %,08/2014,54,2,Colton Crutcher  
Lincoln,100 %,09/2014,54,2,Colton Crutcher  
Lincoln,100 %,10/2014,54,2,Colton Crutcher  
Lincoln,100 %,11/2014,54,2,Colton Crutcher  
Lincoln,100 %,12/2014,54,2,Colton Crutcher  
Lincoln,100 %,01/2015,54,2,Colton Crutcher  
Lincoln,76 %,02/2015,54,2,Colton Crutcher  
Lincoln,100 %,03/2015,54,2,Colton Crutcher  
Lincoln,100 %,04/2015,54,2,Colton Crutcher  
Lincoln,100 %,05/2015,54,2,Colton Crutcher  
Lincoln,100 %,06/2015,54,2,Colton Crutcher  
Lincoln,100 %,07/2015,54,2,Colton Crutcher  
Lincoln,100 %,08/2015,54,2,Colton Crutcher  
Lincoln,100 %,09/2015,54,2,Colton Crutcher  
Comanche,100 %,12/2012,55,18,Constance Caine  
Comanche,100 %,01/2013,55,18,Constance Caine  
Comanche,100 %,02/2013,55,18,Constance Caine  
Comanche,100 %,03/2013,55,18,Constance Caine  
Comanche,100 %,06/2013,55,18,Constance Caine  
Comanche,100 %,07/2013,55,18,Constance Caine  
Comanche,50 %,08/2013,55,18,Constance Caine  
Comanche,100 %,09/2013,55,18,Constance Caine  
Comanche,100 %,10/2013,55,18,Constance Caine  
Comanche,100 %,12/2013,55,18,Constance Caine  
Comanche,50 %,01/2014,55,18,Constance Caine  
Comanche,100 %,02/2014,55,18,Constance Caine  
Comanche,100 %,03/2014,55,18,Constance Caine  
Comanche,100 %,04/2014,55,18,Constance Caine  
Comanche,100 %,05/2014,55,18,Constance Caine  
Comanche,100 %,06/2014,55,18,Constance Caine  
Comanche,100 %,07/2014,55,18,Constance Caine  
Comanche,100 %,08/2014,55,17,Constance Caine  
Comanche,100 %,09/2014,55,17,Constance Caine  
Comanche,100 %,10/2014,55,17,Constance Caine  
Comanche,100 %,11/2014,55,17,Constance Caine  
Comanche,100 %,12/2014,55,17,Constance Caine  
Comanche,100 %,01/2015,55,17,Constance Caine  
Comanche,50 %,02/2015,55,17,Constance Caine  
Comanche,100 %,03/2015,55,18,Constance Caine  
Comanche,100 %,04/2015,55,18,Constance Caine  
Comanche,100 %,05/2015,55,18,Constance Caine  
Comanche,100 %,06/2015,55,18,Constance Caine  
Comanche,100 %,07/2015,55,18,Constance Caine  
Comanche,100 %,08/2015,55,18,Constance Caine  
Comanche,100 %,09/2015,55,18,Constance Caine  
Craig,100 %,06/2012,56,57,Coreen Catalano  
Blaine,100 %,06/2012,57,2,Corey Campion  
Blaine,100 %,08/2012,57,2,Corey Campion  
Blaine,100 %,09/2012,57,2,Corey Campion  
Blaine,100 %,10/2012,57,2,Corey Campion  
Blaine,100 %,12/2012,57,2,Corey Campion  
Blaine,100 %,01/2013,57,2,Corey Campion  
Blaine,100 %,02/2013,57,2,Corey Campion  
Blaine,100 %,03/2013,57,2,Corey Campion  
Blaine,100 %,06/2013,57,2,Corey Campion  
Blaine,100 %,07/2013,57,2,Corey Campion  
Blaine,100 %,08/2013,57,2,Corey Campion  
Blaine,100 %,09/2013,57,2,Corey Campion  
Blaine,100 %,10/2013,57,2,Corey Campion  
Blaine,50 %,12/2013,57,2,Corey Campion  
Blaine,100 %,01/2014,57,2,Corey Campion  
Blaine,100 %,02/2014,57,1,Corey Campion  
Blaine,100 %,03/2014,57,2,Corey Campion  
Blaine,76 %,04/2014,57,1,Corey Campion  
Blaine,100 %,05/2014,57,1,Corey Campion  
Blaine,100 %,06/2014,57,36,Corey Campion  
Blaine,100 %,07/2014,57,36,Corey Campion  
Blaine,76 %,08/2014,57,35,Corey Campion  
Blaine,100 %,09/2014,57,35,Corey Campion  
Blaine,100 %,10/2014,57,35,Corey Campion  
Oklahoma,50 %,06/2012,58,9,Corinne Cid  
Oklahoma,100 %,08/2012,58,9,Corinne Cid  
Oklahoma,76 %,09/2012,58,9,Corinne Cid  
Oklahoma,100 %,10/2012,58,9,Corinne Cid  
Oklahoma,100 %,12/2012,58,9,Corinne Cid  
Oklahoma,100 %,01/2013,58,9,Corinne Cid  
Oklahoma,100 %,02/2013,58,9,Corinne Cid  
Oklahoma,100 %,03/2013,58,9,Corinne Cid  
Oklahoma,100 %,06/2013,58,9,Corinne Cid  
Oklahoma,100 %,07/2013,58,9,Corinne Cid  
Oklahoma,100 %,08/2013,58,9,Corinne Cid  
Oklahoma,100 %,09/2013,58,9,Corinne Cid  
Oklahoma,100 %,10/2013,58,9,Corinne Cid  
Oklahoma,100 %,12/2013,58,9,Corinne Cid  
Oklahoma,50 %,01/2014,58,9,Corinne Cid  
Oklahoma,100 %,02/2014,58,9,Corinne Cid  
Oklahoma,100 %,03/2014,58,9,Corinne Cid  
Oklahoma,100 %,04/2014,58,9,Corinne Cid  
Oklahoma,100 %,05/2014,58,9,Corinne Cid  
Oklahoma,100 %,06/2014,58,9,Corinne Cid  
Oklahoma,50 %,07/2014,58,9,Corinne Cid  
Oklahoma,100 %,08/2014,58,9,Corinne Cid  
Oklahoma,100 %,09/2014,58,9,Corinne Cid  
Oklahoma,50 %,10/2014,58,9,Corinne Cid  
Oklahoma,100 %,11/2014,58,9,Corinne Cid  
Oklahoma,100 %,12/2014,58,9,Corinne Cid  
Oklahoma,100 %,01/2015,58,9,Corinne Cid  
Oklahoma,76 %,02/2015,58,9,Corinne Cid  
Oklahoma,100 %,03/2015,58,9,Corinne Cid  
Oklahoma,100 %,04/2015,58,9,Corinne Cid  
Oklahoma,50 %,05/2015,58,9,Corinne Cid  
Oklahoma,100 %,06/2015,58,9,Corinne Cid  
Oklahoma,100 %,07/2015,58,9,Corinne Cid  
Oklahoma,100 %,08/2015,58,9,Corinne Cid  
Oklahoma,100 %,09/2015,58,9,Corinne Cid  
McIntosh,100 %,06/2012,59,43,Corrinne Chiarello  
McIntosh,100 %,08/2012,59,43,Corrinne Chiarello  
McIntosh,100 %,09/2012,59,43,Corrinne Chiarello  
McIntosh,100 %,10/2012,59,43,Corrinne Chiarello  
McIntosh,100 %,12/2012,59,43,Corrinne Chiarello  
McIntosh,100 %,01/2013,59,43,Corrinne Chiarello  
McIntosh,100 %,02/2013,59,43,Corrinne Chiarello  
McIntosh,100 %,03/2013,59,43,Corrinne Chiarello  
McIntosh,100 %,06/2013,59,43,Corrinne Chiarello  
McIntosh,100 %,07/2013,59,43,Corrinne Chiarello  
McIntosh,100 %,08/2013,59,43,Corrinne Chiarello  
McIntosh,100 %,09/2013,59,43,Corrinne Chiarello  
McIntosh,100 %,10/2013,59,43,Corrinne Chiarello  
McIntosh,100 %,12/2013,59,43,Corrinne Chiarello  
McIntosh,100 %,01/2014,59,43,Corrinne Chiarello  
McIntosh,100 %,02/2014,59,42,Corrinne Chiarello  
McIntosh,100 %,03/2014,59,43,Corrinne Chiarello  
McIntosh,100 %,04/2014,59,42,Corrinne Chiarello  
McIntosh,100 %,05/2014,59,42,Corrinne Chiarello  
McIntosh,100 %,06/2014,59,43,Corrinne Chiarello  
McIntosh,100 %,07/2014,59,43,Corrinne Chiarello  
McIntosh,100 %,08/2014,59,42,Corrinne Chiarello  
McIntosh,100 %,09/2014,59,42,Corrinne Chiarello  
McIntosh,100 %,10/2014,59,42,Corrinne Chiarello  
McIntosh,100 %,11/2014,59,42,Corrinne Chiarello  
McIntosh,100 %,12/2014,59,42,Corrinne Chiarello  
McIntosh,100 %,01/2015,59,42,Corrinne Chiarello  
McIntosh,100 %,02/2015,59,42,Corrinne Chiarello  
McIntosh,100 %,03/2015,59,43,Corrinne Chiarello  
McIntosh,76 %,04/2015,59,43,Corrinne Chiarello  
McIntosh,100 %,05/2015,59,43,Corrinne Chiarello  
McIntosh,100 %,06/2015,59,43,Corrinne Chiarello  
McIntosh,100 %,07/2015,59,43,Corrinne Chiarello  
McIntosh,50 %,08/2015,59,43,Corrinne Chiarello  
McIntosh,100 %,09/2015,59,43,Corrinne Chiarello  
Carter,100 %,06/2012,60,40,Daisey Duran  
Carter,100 %,08/2012,60,40,Daisey Duran  
Carter,100 %,09/2012,60,40,Daisey Duran  
Carter,100 %,10/2012,60,40,Daisey Duran  
Carter,100 %,12/2012,60,40,Daisey Duran  
Carter,100 %,01/2013,60,40,Daisey Duran  
Carter,100 %,02/2013,60,40,Daisey Duran  
Carter,100 %,03/2013,60,40,Daisey Duran  
Carter,100 %,06/2013,60,40,Daisey Duran  
Carter,100 %,07/2013,60,40,Daisey Duran  
Carter,100 %,08/2013,60,40,Daisey Duran  
Carter,100 %,09/2013,60,40,Daisey Duran  
Carter,100 %,10/2013,60,40,Daisey Duran  
Carter,100 %,12/2013,60,40,Daisey Duran  
Carter,100 %,01/2014,60,40,Daisey Duran  
Carter,100 %,02/2014,60,39,Daisey Duran  
Carter,100 %,03/2014,60,40,Daisey Duran  
Carter,100 %,04/2014,60,39,Daisey Duran  
Carter,100 %,05/2014,60,39,Daisey Duran  
Carter,100 %,06/2014,60,40,Daisey Duran  
Carter,100 %,07/2014,60,40,Daisey Duran  
Carter,50 %,08/2014,60,39,Daisey Duran  
Carter,100 %,09/2014,60,39,Daisey Duran  
Carter,100 %,10/2014,60,39,Daisey Duran  
Carter,100 %,11/2014,60,39,Daisey Duran  
Carter,100 %,12/2014,60,39,Daisey Duran  
Carter,100 %,01/2015,60,39,Daisey Duran  
Carter,100 %,02/2015,60,39,Daisey Duran  
Carter,76 %,03/2015,60,40,Daisey Duran  
Carter,50 %,04/2015,60,40,Daisey Duran  
Carter,100 %,05/2015,60,40,Daisey Duran  
Tulsa,100 %,06/2012,61,3,Damon Diener  
Tulsa,100 %,08/2012,61,3,Damon Diener  
Tulsa,100 %,09/2012,61,3,Damon Diener  
Tulsa,100 %,10/2012,61,3,Damon Diener  
Tulsa,100 %,12/2012,61,3,Damon Diener  
Tulsa,50 %,01/2013,61,3,Damon Diener  
Tulsa,100 %,02/2013,61,3,Damon Diener  
Tulsa,100 %,03/2013,61,3,Damon Diener  
Tulsa,100 %,06/2013,61,3,Damon Diener  
Tulsa,100 %,07/2013,61,3,Damon Diener  
Tulsa,100 %,08/2013,61,3,Damon Diener  
Tulsa,100 %,09/2013,61,3,Damon Diener  
Tulsa,100 %,10/2013,61,3,Damon Diener  
Tulsa,100 %,12/2013,61,3,Damon Diener  
Tulsa,100 %,01/2014,61,3,Damon Diener  
Tulsa,50 %,02/2014,61,3,Damon Diener  
Tulsa,100 %,03/2014,61,3,Damon Diener  
Tulsa,50 %,04/2014,61,3,Damon Diener  
Tulsa,100 %,05/2014,61,3,Damon Diener  
Tulsa,100 %,06/2014,61,3,Damon Diener  
Tulsa,100 %,07/2014,61,3,Damon Diener  
Tulsa,100 %,08/2014,61,3,Damon Diener  
Tulsa,100 %,09/2014,61,3,Damon Diener  
Tulsa,76 %,10/2014,61,3,Damon Diener  
Tulsa,100 %,11/2014,61,3,Damon Diener  
Tulsa,100 %,12/2014,61,3,Damon Diener  
Tulsa,100 %,01/2015,61,3,Damon Diener  
Tulsa,100 %,02/2015,61,3,Damon Diener  
Tulsa,100 %,03/2015,61,3,Damon Diener  
Tulsa,100 %,04/2015,61,3,Damon Diener  
Tulsa,76 %,05/2015,61,3,Damon Diener  
Tulsa,100 %,06/2015,61,3,Damon Diener  
Tulsa,100 %,07/2015,61,3,Damon Diener  
Tulsa,100 %,08/2015,61,3,Damon Diener  
Tulsa,100 %,09/2015,61,3,Damon Diener  
Payne,100 %,09/2014,62,53,Daniel Dishman  
Payne,100 %,10/2014,62,53,Daniel Dishman  
Payne,50 %,11/2014,62,53,Daniel Dishman  
Payne,50 %,12/2014,62,53,Daniel Dishman  
Payne,100 %,01/2015,62,53,Daniel Dishman  
Lincoln,100 %,06/2012,63,2,Daniella Doyle  
Lincoln,100 %,08/2012,63,2,Daniella Doyle  
Lincoln,100 %,09/2012,63,2,Daniella Doyle  
Lincoln,100 %,10/2012,63,2,Daniella Doyle  
Lincoln,100 %,12/2012,63,2,Daniella Doyle  
Lincoln,100 %,01/2013,63,2,Daniella Doyle  
Lincoln,100 %,02/2013,63,2,Daniella Doyle  
Lincoln,100 %,03/2013,63,2,Daniella Doyle  
Lincoln,100 %,06/2013,63,2,Daniella Doyle  
Lincoln,100 %,07/2013,63,2,Daniella Doyle  
Lincoln,100 %,08/2013,63,2,Daniella Doyle  
Lincoln,100 %,09/2013,63,2,Daniella Doyle  
Lincoln,100 %,10/2013,63,2,Daniella Doyle  
Lincoln,100 %,12/2013,63,2,Daniella Doyle  
Lincoln,100 %,01/2014,63,2,Daniella Doyle  
Lincoln,100 %,02/2014,63,1,Daniella Doyle  
Lincoln,100 %,03/2014,63,2,Daniella Doyle  
Lincoln,100 %,04/2014,63,1,Daniella Doyle  
Lincoln,50 %,05/2014,63,1,Daniella Doyle  
Lincoln,100 %,06/2014,63,2,Daniella Doyle  
Lincoln,76 %,07/2014,63,2,Daniella Doyle  
Lincoln,100 %,08/2014,63,1,Daniella Doyle  
Lincoln,100 %,09/2014,63,1,Daniella Doyle  
Lincoln,100 %,10/2014,63,1,Daniella Doyle  
Lincoln,100 %,11/2014,63,1,Daniella Doyle  
Lincoln,100 %,12/2014,63,1,Daniella Doyle  
Lincoln,50 %,01/2015,63,1,Daniella Doyle  
Lincoln,100 %,02/2015,63,1,Daniella Doyle  
Lincoln,100 %,03/2015,63,2,Daniella Doyle  
Lincoln,100 %,04/2015,63,2,Daniella Doyle  
Lincoln,100 %,05/2015,63,2,Daniella Doyle  
Lincoln,100 %,06/2015,63,2,Daniella Doyle  
Lincoln,100 %,07/2015,63,2,Daniella Doyle  
Lincoln,100 %,08/2015,63,2,Daniella Doyle  
Lincoln,76 %,09/2015,63,2,Daniella Doyle  
Tulsa,100 %,03/2015,64,8,Danielle Dauber  
Tulsa,100 %,04/2015,64,8,Danielle Dauber  
Tulsa,100 %,05/2015,64,8,Danielle Dauber  
Tulsa,100 %,06/2015,64,8,Danielle Dauber  
Tulsa,100 %,08/2015,64,8,Danielle Dauber  
Tulsa,100 %,09/2015,64,8,Danielle Dauber  
Kay,100 %,11/2014,65,53,Danita Deslauriers  
Kay,100 %,12/2014,65,53,Danita Deslauriers  
Kay,100 %,01/2015,65,53,Danita Deslauriers  
Kay,100 %,02/2015,65,53,Danita Deslauriers  
Kay,100 %,03/2015,65,53,Danita Deslauriers  
Kay,100 %,04/2015,65,4,Danita Deslauriers  
Kay,100 %,05/2015,65,4,Danita Deslauriers  
Kay,100 %,06/2015,65,4,Danita Deslauriers  
Kay,100 %,07/2015,65,4,Danita Deslauriers  
Kay,100 %,08/2015,65,4,Danita Deslauriers  
Kay,100 %,09/2015,65,4,Danita Deslauriers  
Texas,100 %,08/2014,66,46,Darwin Durgan  
Texas,100 %,09/2014,66,46,Darwin Durgan  
Texas,100 %,10/2014,66,46,Darwin Durgan  
Texas,100 %,11/2014,66,46,Darwin Durgan  
Texas,100 %,12/2014,66,46,Darwin Durgan  
Texas,100 %,01/2015,66,46,Darwin Durgan  
Texas,100 %,02/2015,66,46,Darwin Durgan  
Texas,100 %,03/2015,66,46,Darwin Durgan  
Texas,100 %,04/2015,66,46,Darwin Durgan  
Texas,100 %,05/2015,66,46,Darwin Durgan  
Texas,100 %,06/2015,66,46,Darwin Durgan  
Texas,100 %,07/2015,66,46,Darwin Durgan  
Texas,100 %,08/2015,66,46,Darwin Durgan  
Texas,100 %,09/2015,66,46,Darwin Durgan  
Tulsa,100 %,06/2012,67,3,Deanna Drumheller  
Tulsa,100 %,08/2012,67,3,Deanna Drumheller  
Tulsa,100 %,09/2012,67,3,Deanna Drumheller  
Tulsa,100 %,10/2012,67,3,Deanna Drumheller  
Jackson,100 %,06/2012,68,55,Della Dorantes  
Jackson,100 %,08/2012,68,55,Della Dorantes  
Jackson,100 %,09/2012,68,55,Della Dorantes  
Jackson,100 %,10/2012,68,53,Della Dorantes  
Jackson,76 %,12/2012,68,55,Della Dorantes  
Jackson,100 %,01/2013,68,53,Della Dorantes  
Jackson,100 %,02/2013,68,53,Della Dorantes  
Jackson,100 %,03/2013,68,53,Della Dorantes  
Noble,100 %,04/2015,69,4,Delphine Doonan  
Payne,100 %,04/2015,69,4,Delphine Doonan  
Noble,100 %,05/2015,69,4,Delphine Doonan  
Payne,100 %,05/2015,69,4,Delphine Doonan  
Noble,100 %,06/2015,69,4,Delphine Doonan  
Payne,100 %,06/2015,69,4,Delphine Doonan  
Noble,100 %,07/2015,69,4,Delphine Doonan  
Payne,50 %,07/2015,69,4,Delphine Doonan  
Noble,100 %,08/2015,69,4,Delphine Doonan  
Payne,100 %,08/2015,69,4,Delphine Doonan  
Noble,100 %,09/2015,69,4,Delphine Doonan  
Payne,100 %,09/2015,69,4,Delphine Doonan  
Cleveland,100 %,12/2012,70,24,Delta Drey  
Cleveland,100 %,01/2013,70,24,Delta Drey  
Cleveland,50 %,02/2013,70,24,Delta Drey  
Cleveland,100 %,03/2013,70,24,Delta Drey  
Cleveland,100 %,06/2013,70,24,Delta Drey  
Cleveland,50 %,07/2013,70,24,Delta Drey  
Cleveland,100 %,08/2013,70,24,Delta Drey  
Cleveland,100 %,09/2013,70,24,Delta Drey  
Cleveland,100 %,10/2013,70,24,Delta Drey  
Cleveland,100 %,12/2013,70,24,Delta Drey  
Cleveland,100 %,01/2014,70,24,Delta Drey  
Cleveland,100 %,02/2014,70,23,Delta Drey  
Cleveland,100 %,03/2014,70,24,Delta Drey  
Cleveland,100 %,04/2014,70,23,Delta Drey  
Cleveland,100 %,05/2014,70,23,Delta Drey  
Cleveland,76 %,06/2014,70,24,Delta Drey  
Cleveland,100 %,07/2014,70,24,Delta Drey  
Cleveland,50 %,08/2014,70,23,Delta Drey  
